self_employed,num_employees,tech_company,role,mental_health_benefits,knowledge_of_mental_healthcare_coverage,employer_discussed_mental_health,employer_offer_resources,anonymity_protected,asking_for_leave,discuss_mental_health_disorder_with_employer,believe_negative_consequences_of_employer_discussion,discuss_mental_health_disorder_with_coworkers,discuss_mental_health_disorder_with_supervisor,employer_mental_health_serious,negative_consequences_at_work,medical_coverage,know_of_resources_for_help,reveal_diagnosis_with_collegues,negative_impact_of_revealing_diagnosis,productivity_affected_mental_health,percentage_work_time_affected,discuss_physical_health_potential_employer,discuss_mental_health_potential_employer,hurt_career,believe_negative_view_from_collegues,share_with_friends_family,bad_response_to_mental_health_at_work,family_history,had_disorder_in_past,have_disorder,been_diagnosed,sought_treatment,interferes_with_work_if_treated_effectively,age,gender,work_remotely
0,26-100,1,,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,Yes,No,Yes,0,Not applicable to me,39,Male,Sometimes
0,6-25,1,,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,,,,,,,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,29,male,Never
0,6-25,1,,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Maybe,No,No,1,Not applicable to me,38,Male ,Always
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",I'm not sure,Yes,1-25%,Yes,Maybe,"Yes, I think it would",Maybe,Neutral,No,No,Yes,Yes,Yes,1,Sometimes,43,male,Sometimes
0,6-25,0,1,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,,,,,,,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,43,Female,Sometimes
0,More than 1000,1,,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,,,,,,,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,Yes,No,1,Not applicable to me,42,Male,Sometimes
0,26-100,1,,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,,,,,,,Yes,Yes,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,30,M,Sometimes
0,More than 1000,1,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,No,No,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,37,female,Always
0,26-100,0,1,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,,,,,,,Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,44,Female,Sometimes
1,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",N/A,Yes,1-25%,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,30,Male,Always
0,26-100,1,,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,Yes,Yes,"No, I don't think it would",Maybe,Very open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Sometimes,28,Male,Never
0,100-500,0,1,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Yes,Yes,Yes,Yes,1,Never,34,Male,Sometimes
0,100-500,1,,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,No,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,30,Female,Always
0,100-500,0,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,,,,,,,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",No,Maybe,Maybe,No,0,Not applicable to me,44,Male,Sometimes
0,100-500,1,,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,,,,,,,No,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,35,Male,Always
0,100-500,1,,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,Maybe,Maybe,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,1,Rarely,52,m,Sometimes
0,26-100,1,,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,,,,,,,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,32,I identify as female.,Always
0,500-1000,1,,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,,,,,,,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,34,Male,Never
1,,,,,,,,,,,,,,,,1,I know some,"No, because it would impact me negatively",Yes,Yes,76-100%,No,No,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Often,25,female ,Always
0,100-500,0,1,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,,,,,,,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Rarely,31,M,Sometimes
0,6-25,1,,No,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Maybe,No,No,0,Not applicable to me,26,Male,Sometimes
0,More than 1000,0,1,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,,,,,,,No,No,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,35,male,Never
0,26-100,1,,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,I don't know,Maybe,No,No,0,Not applicable to me,25,male,Sometimes
0,1-5,1,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,No,Yes,1,Sometimes,33,Male,Sometimes
1,,,,,,,,,,,,,,,,1,I know some,Not applicable to me,N/A,Not applicable to me,,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,0,Not applicable to me,38,Male,Sometimes
0,100-500,0,1,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,,,,,,,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,42,male,Never
0,26-100,0,1,No,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,,,,,,,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Rarely,27,Male,Sometimes
0,100-500,1,,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,,,,,,,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,1,Sometimes,35,male,Never
0,500-1000,0,1,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,,,,,,,Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,1,Sometimes,34,female,Never
0,6-25,1,,Not eligible for coverage / N/A,N/A,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,32,Bigender,Never
0,100-500,1,,Not eligible for coverage / N/A,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,,,,,,,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,32,non-binary,Never
0,100-500,1,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,,,,,,,No,No,"No, I don't think it would","No, they do not",Very open,No,No,Yes,Yes,Yes,1,Often,30,Male,Sometimes
0,More than 1000,1,,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No,,,,,,,No,No,Maybe,Maybe,Somewhat open,No,I don't know,Yes,Maybe,No,0,Rarely,31,Male,Never
1,,,,,,,,,,,,,,,,0,"No, I don't know any","No, because it doesn't matter",No,Yes,1-25%,No,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,37,Male ,Sometimes
0,26-100,1,,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,No,0,Not applicable to me,36,Male,Sometimes
0,100-500,1,,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,,,,,,,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,33,Male,Never
0,26-100,1,,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,,,,,,,Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,44,Male,Always
